"BACKSPACE_COUNT","CAC","CAR","CAT_R","CCC","CONDITION","CORRECTED_ERROR_RATE","CPS","ERROR_RATE","TEST_ID","INPUT_TIME","IS_LENGTH","KEYSTROKES_PER_CHARACTER","LEVENSHTEIN_DELETION","LEVENSHTEIN_INSERTION","LEVENSHTEIN_SUBSTITUTION","MINIMUM_STRING_DISTANCE","PHRASE_NUMBER","PT","PT_LENGTH","PARTICIPANT_ID","TOTAL_ERROR_RATE","TOTAL_PHRASES","TT","TT_LENGTH","T_CAT","VST","WPM","DATE"
0,0,0,0,0,"off",0,4.10798122065728,0,"5mAyB3gRUMCENfxppsm3",6.816,29,1,0,0,0,0,1,"i can see the rings on saturn",29,"ZWH1by2chTTjxC5xBonl",0,12,"i can see the rings on saturn",29,0,2060,49.2957746478873,2022-02-09 10:02:11
6,6,12.7659574468085,20.4640371229698,0,"enhanced",14.6341463414634,5.25908739365816,0,"oRp2fs4YZwAP7pmDDr3n",6.465,47,1.34285714285714,0,0,0,0,9,"look in the syllabus for the course",35,"2k6c3UE1moGMXX5sANSS",14.6341463414634,12,"look in the syllabus for the course",35,1.323,123,63.1090487238979,2022-02-09 09:57:35
0,0,0,0,0,"off",0,3.56435643564356,0,"5mAyB3gRUMCENfxppsm3",7.575,28,1,0,0,0,0,3,"healthy food is good for you",28,"ZWH1by2chTTjxC5xBonl",0,12,"healthy food is good for you",28,0,355,42.7722772277228,2022-02-09 10:02:11
2,2,4.16666666666667,8.2204678786123,0,"off",4.34782608695652,3.1143622800029,2.27272727272727,"5mAyB3gRUMCENfxppsm3",13.807,48,1.09090909090909,1,0,0,2.27272727272727,2,"a steep learning curve in riding a unicycle",43,"ZWH1by2chTTjxC5xBonl",6.52173913043478,12,"a steepp learning curve in riding a unicycle",44,1.135,595,37.3723473600348,2022-02-09 10:02:11
0,0,0,0,0,"enhanced",0,10.1046553590761,0,"oRp2fs4YZwAP7pmDDr3n",2.771,29,1,0,0,0,0,10,"work hard to reach the summit",29,"2k6c3UE1moGMXX5sANSS",0,12,"work hard to reach the summit",29,0,217,121.255864308914,2022-02-09 09:57:35
1,1,3.2258064516129,13.8827953619555,0,"enhanced",3.33333333333333,8.77467878408023,0,"oRp2fs4YZwAP7pmDDr3n",3.191,31,1.06896551724138,0,0,0,0,11,"the imagination of the nation",29,"2k6c3UE1moGMXX5sANSS",3.33333333333333,12,"the imagination of the nation",29,0.443,257,105.296145408963,2022-02-09 09:57:35
0,0,0,0,0,"off",0,2.78893351182508,0,"5mAyB3gRUMCENfxppsm3",8.964,26,1,0,0,0,0,4,"mystery of the lost lagoon",26,"ZWH1by2chTTjxC5xBonl",0,12,"mystery of the lost lagoon",26,0,601,33.4672021419009,2022-02-09 10:02:11
0,0,0,0,0,"enhanced",0,7.65155974102413,0,"oRp2fs4YZwAP7pmDDr3n",3.398,27,1,0,0,0,0,8,"this watch is too expensive",27,"2k6c3UE1moGMXX5sANSS",0,12,"this watch is too expensive",27,0,122,91.8187168922896,2022-02-09 09:57:35
3,3,7.14285714285714,8.91987457468811,0,"off",7.69230769230769,2.33504570018013,0,"5mAyB3gRUMCENfxppsm3",14.989,42,1.16666666666667,0,0,0,0,6,"questioning the wisdom of the courts",36,"ZWH1by2chTTjxC5xBonl",7.69230769230769,12,"questioning the wisdom of the courts",36,1.337,506,28.0205484021616,2022-02-09 10:02:11
3,3,10.3448275862069,13.1191621851118,0,"off",11.5384615384615,3.11350127370507,0,"5mAyB3gRUMCENfxppsm3",7.066,29,1.26086956521739,0,0,0,0,8,"thank you for your help",23,"ZWH1by2chTTjxC5xBonl",11.5384615384615,12,"thank you for your help",23,0.927,275,37.3620152844608,2022-02-09 10:02:11
